feature,lld_base,lld_category,lld_description,functional,functional_description,processing,processing_description
audspecRasta_lengthL1norm_sma_de_meanRisingSlope,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,meanRisingSlope,Output of the mean of the rising slopes (rising slope is the slope of the line connecting a local minimum (or the beginning of input sample) with the following local maximum/peak or the end of input sample),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspecRasta_lengthL1norm_sma_de_stddevRisingSlope,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,stddevRisingSlope,Output of the standard deviation of the rising slopes,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspecRasta_lengthL1norm_sma_de_meanFallingSlope,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,meanFallingSlope,Output of the mean of the falling slopes (falling slope is the slope of the line connecting a local maximum/peak (or the beginning of input sample) with the following local minimum (or the end of input sample)),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspecRasta_lengthL1norm_sma_de_stddevFallingSlope,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,stddevFallingSlope,Output of the standard deviation of the falling slopes,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_range,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,range,Output of range (max-min),['sma'],['Smoothing']
pcm_RMSenergy_sma_maxPos,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,maxPos,"Output of position of maximum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_RMSenergy_sma_minPos,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,minPos,"Output of position of minimum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_RMSenergy_sma_quartile1,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,quartile1,Output of quartile1 (0.25),['sma'],['Smoothing']
pcm_RMSenergy_sma_quartile2,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,quartile2,Output of quartile2 (0.50),['sma'],['Smoothing']
pcm_RMSenergy_sma_quartile3,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,quartile3,Output of quartile3 (0.75),['sma'],['Smoothing']
pcm_RMSenergy_sma_iqr1-2,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,iqr1-2,Output of inter-quartile range 1-2 (quartile2-quartile1),['sma'],['Smoothing']
pcm_RMSenergy_sma_iqr2-3,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,iqr2-3,Output of inter-quartile range 2-3 (quartile3-quartile2),['sma'],['Smoothing']
pcm_RMSenergy_sma_iqr1-3,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,iqr1-3,Output of inter-quartile range 1-3 (quartile3-quartile1),['sma'],['Smoothing']
pcm_RMSenergy_sma_percentile1.0,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,percentile1.0,"Output of first percentile, duplicate entries are not checked for and not removed",['sma'],['Smoothing']
pcm_RMSenergy_sma_percentile99.0,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,percentile99.0,"Output of ninety-ninth percentile, duplicate entries are not checked for and not removed",['sma'],['Smoothing']
pcm_RMSenergy_sma_pctlrange0-1,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,pctlrange0-1,Output of inter percentile range from 0-1,['sma'],['Smoothing']
pcm_RMSenergy_sma_stddev,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,stddev,Output of standard deviation,['sma'],['Smoothing']
pcm_RMSenergy_sma_skewness,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,skewness,Output of skewness,['sma'],['Smoothing']
pcm_RMSenergy_sma_kurtosis,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,kurtosis,Output of kurtosis,['sma'],['Smoothing']
pcm_RMSenergy_sma_meanSegLen,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,meanSegLen,"Output of the mean segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_RMSenergy_sma_maxSegLen,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,maxSegLen,"Output of the maximum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_RMSenergy_sma_minSegLen,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,minSegLen,"Output of the minimum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_RMSenergy_sma_segLenStddev,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,segLenStddev,"Output of the standard deviation of the segment lengths (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_RMSenergy_sma_upleveltime25,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,upleveltime25,Compute time where signal is above 0.25*range,['sma'],['Smoothing']
pcm_RMSenergy_sma_upleveltime50,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,upleveltime50,Compute time where signal is above 0.50*range,['sma'],['Smoothing']
pcm_RMSenergy_sma_upleveltime75,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,upleveltime75,Compute time where signal is above 0.75*range,['sma'],['Smoothing']
pcm_RMSenergy_sma_upleveltime90,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,upleveltime90,Compute time where signal is above 0.90*range,['sma'],['Smoothing']
pcm_RMSenergy_sma_risetime,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,risetime,Compute time where signal is rising,['sma'],['Smoothing']
pcm_RMSenergy_sma_leftctime,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,leftctime,Compute time where signal has left curvature,['sma'],['Smoothing']
pcm_RMSenergy_sma_lpgain,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,lpgain,Output of LP gain,['sma'],['Smoothing']
pcm_RMSenergy_sma_lpc0,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,lpc0,Output of LP coefficient 0,['sma'],['Smoothing']
pcm_RMSenergy_sma_lpc1,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,lpc1,Output of LP coefficient 1,['sma'],['Smoothing']
pcm_RMSenergy_sma_lpc2,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,lpc2,Output of LP coefficient 2,['sma'],['Smoothing']
pcm_RMSenergy_sma_lpc3,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,lpc3,Output of LP coefficient 3,['sma'],['Smoothing']
pcm_RMSenergy_sma_lpc4,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,lpc4,Output of LP coefficient 4,['sma'],['Smoothing']
pcm_RMSenergy_sma_de_range,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,range,Output of range (max-min),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_maxPos,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,maxPos,"Output of position of maximum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_minPos,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,minPos,"Output of position of minimum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_quartile1,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,quartile1,Output of quartile1 (0.25),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_quartile2,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,quartile2,Output of quartile2 (0.50),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_quartile3,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,quartile3,Output of quartile3 (0.75),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_iqr1-2,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,iqr1-2,Output of inter-quartile range 1-2 (quartile2-quartile1),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_iqr2-3,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,iqr2-3,Output of inter-quartile range 2-3 (quartile3-quartile2),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_iqr1-3,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,iqr1-3,Output of inter-quartile range 1-3 (quartile3-quartile1),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_percentile1.0,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,percentile1.0,"Output of first percentile, duplicate entries are not checked for and not removed","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_percentile99.0,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,percentile99.0,"Output of ninety-ninth percentile, duplicate entries are not checked for and not removed","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_pctlrange0-1,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,pctlrange0-1,Output of inter percentile range from 0-1,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_stddev,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,stddev,Output of standard deviation,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_skewness,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,skewness,Output of skewness,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_kurtosis,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,kurtosis,Output of kurtosis,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_meanSegLen,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,meanSegLen,"Output of the mean segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_maxSegLen,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,maxSegLen,"Output of the maximum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_minSegLen,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,minSegLen,"Output of the minimum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_segLenStddev,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,segLenStddev,"Output of the standard deviation of the segment lengths (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_upleveltime25,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,upleveltime25,Compute time where signal is above 0.25*range,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_upleveltime50,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,upleveltime50,Compute time where signal is above 0.50*range,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_upleveltime75,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,upleveltime75,Compute time where signal is above 0.75*range,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_upleveltime90,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,upleveltime90,Compute time where signal is above 0.90*range,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_risetime,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,risetime,Compute time where signal is rising,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_leftctime,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,leftctime,Compute time where signal has left curvature,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_lpgain,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,lpgain,Output of LP gain,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_lpc0,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,lpc0,Output of LP coefficient 0,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_lpc1,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,lpc1,Output of LP coefficient 1,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_lpc2,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,lpc2,Output of LP coefficient 2,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_lpc3,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,lpc3,Output of LP coefficient 3,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_lpc4,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,lpc4,Output of LP coefficient 4,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_amean,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,amean,Output of arithmetic mean,['sma'],['Smoothing']
pcm_RMSenergy_sma_flatness,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,flatness,Output of contour flatness (ratio of geometric mean and absolute value arithmetic mean(absmean))),['sma'],['Smoothing']
pcm_RMSenergy_sma_rqmean,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,rqmean,Output of square root of quadratic mean,['sma'],['Smoothing']
pcm_RMSenergy_sma_meanPeakDist,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,meanPeakDist,"Output of mean distance between peaks (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_RMSenergy_sma_peakDistStddev,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,peakDistStddev,Output of standard deviation of inter peak distances,['sma'],['Smoothing']
pcm_RMSenergy_sma_peakRangeAbs,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,peakRangeAbs,Output of peak range (max peak value - min peak value),['sma'],['Smoothing']
pcm_RMSenergy_sma_peakRangeRel,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,peakRangeRel,Output of peak range (max peak value - min peak value) / arithmetic mean,['sma'],['Smoothing']
pcm_RMSenergy_sma_peakMeanAbs,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,peakMeanAbs,Output of arithmetic mean of peaks (local maxima),['sma'],['Smoothing']
pcm_RMSenergy_sma_peakMeanMeanDist,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,peakMeanMeanDist,Output of arithmetic mean of peaks - arithmetic mean of all values (mean of peaks to signal mean distance),['sma'],['Smoothing']
pcm_RMSenergy_sma_peakMeanRel,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,peakMeanRel,Output of arithmetic mean of peaks (local maxima) / arithmetic mean of all values (mean of peaks to signal mean ratio ~ peakMeanMeanRatio),['sma'],['Smoothing']
pcm_RMSenergy_sma_minRangeRel,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,minRangeRel,Output of local minima range (max minimum value - min minimum value) / arithmetic mean,['sma'],['Smoothing']
pcm_RMSenergy_sma_meanRisingSlope,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,meanRisingSlope,Output of the mean of the rising slopes (rising slope is the slope of the line connecting a local minimum (or the beginning of input sample) with the following local maximum/peak or the end of input sample),['sma'],['Smoothing']
pcm_RMSenergy_sma_stddevRisingSlope,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,stddevRisingSlope,Output of the standard deviation of the rising slopes,['sma'],['Smoothing']
pcm_RMSenergy_sma_meanFallingSlope,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,meanFallingSlope,Output of the mean of the falling slopes (falling slope is the slope of the line connecting a local maximum/peak (or the beginning of input sample) with the following local minimum (or the end of input sample)),['sma'],['Smoothing']
pcm_RMSenergy_sma_stddevFallingSlope,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,stddevFallingSlope,Output of the standard deviation of the falling slopes,['sma'],['Smoothing']
pcm_RMSenergy_sma_linregc1,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,linregc1,Output of slope m (linear regression line),['sma'],['Smoothing']
pcm_RMSenergy_sma_linregc2,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,linregc2,Output of offset t (linear regression line),['sma'],['Smoothing']
pcm_RMSenergy_sma_linregerrQ,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,linregerrQ,Output of quadratic error between contour and linear regression line,['sma'],['Smoothing']
pcm_RMSenergy_sma_qregc1,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,qregc1,Output of quadratic regression coefficient 1 (a),['sma'],['Smoothing']
pcm_RMSenergy_sma_qregc2,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,qregc2,Output of quadratic regression coefficient 2 (b),['sma'],['Smoothing']
pcm_RMSenergy_sma_qregc3,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,qregc3,Output of quadratic regression coefficient 3 (c = offset),['sma'],['Smoothing']
pcm_RMSenergy_sma_qregerrQ,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,qregerrQ,Output of quadratic error between contour and quadratic regression line (parabola),['sma'],['Smoothing']
pcm_RMSenergy_sma_centroid,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,centroid,Output of centroid of contour (this is computed as a by-product of the regression coefficients).,['sma'],['Smoothing']
pcm_RMSenergy_sma_de_flatness,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,flatness,Output of contour flatness (ratio of geometric mean and absolute value arithmetic mean(absmean))),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_posamean,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,posamean,Output of arithmetic mean of positive values only (usually you would apply this to a differential signal to measure how much the original signal is rising),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_rqmean,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,rqmean,Output of square root of quadratic mean,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_meanPeakDist,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,meanPeakDist,"Output of mean distance between peaks (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_peakDistStddev,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,peakDistStddev,Output of standard deviation of inter peak distances,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_peakRangeAbs,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,peakRangeAbs,Output of peak range (max peak value - min peak value),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_peakRangeRel,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,peakRangeRel,Output of peak range (max peak value - min peak value) / arithmetic mean,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_peakMeanAbs,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,peakMeanAbs,Output of arithmetic mean of peaks (local maxima),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_peakMeanMeanDist,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,peakMeanMeanDist,Output of arithmetic mean of peaks - arithmetic mean of all values (mean of peaks to signal mean distance),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_peakMeanRel,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,peakMeanRel,Output of arithmetic mean of peaks (local maxima) / arithmetic mean of all values (mean of peaks to signal mean ratio ~ peakMeanMeanRatio),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_minRangeRel,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,minRangeRel,Output of local minima range (max minimum value - min minimum value) / arithmetic mean,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_meanRisingSlope,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,meanRisingSlope,Output of the mean of the rising slopes (rising slope is the slope of the line connecting a local minimum (or the beginning of input sample) with the following local maximum/peak or the end of input sample),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_stddevRisingSlope,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,stddevRisingSlope,Output of the standard deviation of the rising slopes,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_meanFallingSlope,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,meanFallingSlope,Output of the mean of the falling slopes (falling slope is the slope of the line connecting a local maximum/peak (or the beginning of input sample) with the following local minimum (or the end of input sample)),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_RMSenergy_sma_de_stddevFallingSlope,pcm_RMSenergy_sma,Prosodic,Root-mean-square signal-frame energy.,stddevFallingSlope,Output of the standard deviation of the falling slopes,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_zcr_sma_range,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,range,Output of range (max-min),['sma'],['Smoothing']
pcm_zcr_sma_maxPos,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,maxPos,"Output of position of maximum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_zcr_sma_minPos,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,minPos,"Output of position of minimum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_zcr_sma_quartile1,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,quartile1,Output of quartile1 (0.25),['sma'],['Smoothing']
pcm_zcr_sma_quartile2,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,quartile2,Output of quartile2 (0.50),['sma'],['Smoothing']
pcm_zcr_sma_quartile3,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,quartile3,Output of quartile3 (0.75),['sma'],['Smoothing']
pcm_zcr_sma_iqr1-2,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,iqr1-2,Output of inter-quartile range 1-2 (quartile2-quartile1),['sma'],['Smoothing']
pcm_zcr_sma_iqr2-3,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,iqr2-3,Output of inter-quartile range 2-3 (quartile3-quartile2),['sma'],['Smoothing']
pcm_zcr_sma_iqr1-3,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,iqr1-3,Output of inter-quartile range 1-3 (quartile3-quartile1),['sma'],['Smoothing']
pcm_zcr_sma_percentile1.0,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,percentile1.0,"Output of first percentile, duplicate entries are not checked for and not removed",['sma'],['Smoothing']
pcm_zcr_sma_percentile99.0,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,percentile99.0,"Output of ninety-ninth percentile, duplicate entries are not checked for and not removed",['sma'],['Smoothing']
pcm_zcr_sma_pctlrange0-1,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,pctlrange0-1,Output of inter percentile range from 0-1,['sma'],['Smoothing']
pcm_zcr_sma_stddev,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,stddev,Output of standard deviation,['sma'],['Smoothing']
pcm_zcr_sma_skewness,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,skewness,Output of skewness,['sma'],['Smoothing']
pcm_zcr_sma_kurtosis,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,kurtosis,Output of kurtosis,['sma'],['Smoothing']
pcm_zcr_sma_meanSegLen,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,meanSegLen,"Output of the mean segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_zcr_sma_maxSegLen,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,maxSegLen,"Output of the maximum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_zcr_sma_minSegLen,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,minSegLen,"Output of the minimum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_zcr_sma_segLenStddev,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,segLenStddev,"Output of the standard deviation of the segment lengths (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_zcr_sma_upleveltime25,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,upleveltime25,Compute time where signal is above 0.25*range,['sma'],['Smoothing']
pcm_zcr_sma_upleveltime50,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,upleveltime50,Compute time where signal is above 0.50*range,['sma'],['Smoothing']
pcm_zcr_sma_upleveltime75,pcm_zcr_sma,Prosodic,Zero-crossing rate of time signal.,upleveltime75,Compute time where signal is above 0.75*range,['sma'],['Smoothing']
