feature,lld_base,lld_category,lld_description,functional,functional_description,processing,processing_description
slopeV500-1500_sma3nz_amean,slope500-1500,Spectral,"Spectral slope from 500 to 1500 Hz computed on voiced frames — linear regression slope of the spectral magnitude across the 500–1500 Hz band. Reflects mid-frequency spectral tilt during phonation.",amean,Arithmetic mean of the LLD time series over voiced frames in the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
slopeV500-1500_sma3nz_stddevNorm,slope500-1500,Spectral,"Spectral slope from 500 to 1500 Hz computed on voiced frames — linear regression slope of the spectral magnitude across the 500–1500 Hz band. Reflects mid-frequency spectral tilt during phonation.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
spectralFluxV_sma3nz_amean,spectralFlux,Spectral,"Spectral flux computed on voiced frames only — the frame-to-frame change in the spectral magnitude envelope restricted to frames where F0 > 0. Captures spectral dynamics during phonation.",amean,Arithmetic mean of the LLD time series over voiced frames in the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
spectralFluxV_sma3nz_stddevNorm,spectralFlux,Spectral,"Spectral flux computed on voiced frames only — the frame-to-frame change in the spectral magnitude envelope restricted to frames where F0 > 0. Captures spectral dynamics during phonation.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
mfcc1V_sma3nz_amean,mfcc1,Spectral,"First Mel-Frequency Cepstral Coefficient (MFCC 1) computed on voiced frames only, representing the dominant spectral envelope shape during phonation.",amean,Arithmetic mean of the LLD time series over voiced frames in the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
mfcc1V_sma3nz_stddevNorm,mfcc1,Spectral,"First Mel-Frequency Cepstral Coefficient (MFCC 1) computed on voiced frames only, representing the dominant spectral envelope shape during phonation.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
mfcc2V_sma3nz_amean,mfcc2,Spectral,"Second Mel-Frequency Cepstral Coefficient (MFCC 2) computed on voiced frames only, representing secondary spectral envelope variation during phonation.",amean,Arithmetic mean of the LLD time series over voiced frames in the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
mfcc2V_sma3nz_stddevNorm,mfcc2,Spectral,"Second Mel-Frequency Cepstral Coefficient (MFCC 2) computed on voiced frames only, representing secondary spectral envelope variation during phonation.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
mfcc3V_sma3nz_amean,mfcc3,Spectral,"Third Mel-Frequency Cepstral Coefficient (MFCC 3) computed on voiced frames only.",amean,Arithmetic mean of the LLD time series over voiced frames in the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
mfcc3V_sma3nz_stddevNorm,mfcc3,Spectral,"Third Mel-Frequency Cepstral Coefficient (MFCC 3) computed on voiced frames only.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
mfcc4V_sma3nz_amean,mfcc4,Spectral,"Fourth Mel-Frequency Cepstral Coefficient (MFCC 4) computed on voiced frames only.",amean,Arithmetic mean of the LLD time series over voiced frames in the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
mfcc4V_sma3nz_stddevNorm,mfcc4,Spectral,"Fourth Mel-Frequency Cepstral Coefficient (MFCC 4) computed on voiced frames only.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
alphaRatioUV_sma3nz_amean,alphaRatio,Spectral,"Alpha ratio computed on unvoiced frames — logarithmic ratio of the summed energy in the 50–1000 Hz band to the summed energy in the 1000–5000 Hz band, restricted to unvoiced speech frames (F0 = 0 Hz). Reflects spectral balance during unvoiced phonation (e.g. fricatives and stops).",amean,Arithmetic mean of the LLD time series over unvoiced frames in the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero frames (excluding silence); computed on unvoiced speech frames."
hammarbergIndexUV_sma3nz_amean,hammarbergIndex,Spectral,"Hammarberg index computed on unvoiced frames — logarithmic ratio of the maximum spectral energy peak in the 0–2000 Hz region to the maximum energy peak in the 2000–5000 Hz region, restricted to unvoiced speech frames. Reflects spectral energy balance during unvoiced phonation.",amean,Arithmetic mean of the LLD time series over unvoiced frames in the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero frames (excluding silence); computed on unvoiced speech frames."
slopeUV0-500_sma3nz_amean,slope0-500,Spectral,"Spectral slope from 0 to 500 Hz computed on unvoiced frames — linear regression slope of the spectral magnitude across the 0–500 Hz band during unvoiced speech.",amean,Arithmetic mean of the LLD time series over unvoiced frames in the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero frames (excluding silence); computed on unvoiced speech frames."
slopeUV500-1500_sma3nz_amean,slope500-1500,Spectral,"Spectral slope from 500 to 1500 Hz computed on unvoiced frames — linear regression slope of the spectral magnitude across the 500–1500 Hz band during unvoiced speech.",amean,Arithmetic mean of the LLD time series over unvoiced frames in the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero frames (excluding silence); computed on unvoiced speech frames."
spectralFluxUV_sma3nz_amean,spectralFlux,Spectral,"Spectral flux computed on unvoiced frames only — the frame-to-frame change in the spectral magnitude envelope restricted to unvoiced speech frames. Captures spectral dynamics during unvoiced phonation.",amean,Arithmetic mean of the LLD time series over unvoiced frames in the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero frames (excluding silence); computed on unvoiced speech frames."
loudnessPeaksPerSec,loudnessPeaksPerSec,Temporal,"Number of local maxima (peaks) in the smoothed loudness contour per second over the entire segment. Reflects rhythmic pulsing of energy in speech and is correlated with syllable rate.",segment_level,Directly computed at the utterance/segment level; not derived from per-frame LLD time series via statistical aggregation.,none,No smoothing applied; feature computed directly at the utterance/segment level.
VoicedSegmentsPerSec,VoicedSegmentsPerSec,Temporal,"Number of continuous voiced speech segments per second over the entire utterance. Reflects speaking rate and the frequency of voiced phonation events within the recording.",segment_level,Directly computed at the utterance/segment level; not derived from per-frame LLD time series via statistical aggregation.,none,No smoothing applied; feature computed directly at the utterance/segment level.
MeanVoicedSegmentLengthSec,MeanVoicedSegmentLengthSec,Temporal,"Mean duration (in seconds) of continuous voiced speech segments across the utterance. Longer mean voiced segment lengths may reflect fewer pauses and more sustained phonation.",segment_level,Directly computed at the utterance/segment level; not derived from per-frame LLD time series via statistical aggregation.,none,No smoothing applied; feature computed directly at the utterance/segment level.
StddevVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,Temporal,"Standard deviation of the durations of voiced speech segments. High variability may indicate irregular speech rhythm or alternating short and long phonation events.",segment_level,Directly computed at the utterance/segment level; not derived from per-frame LLD time series via statistical aggregation.,none,No smoothing applied; feature computed directly at the utterance/segment level.
MeanUnvoicedSegmentLength,MeanUnvoicedSegmentLength,Temporal,"Mean duration (in seconds) of continuous unvoiced segments (pauses, silence, and unvoiced consonants). May reflect pause behavior and articulatory fluency.",segment_level,Directly computed at the utterance/segment level; not derived from per-frame LLD time series via statistical aggregation.,none,No smoothing applied; feature computed directly at the utterance/segment level.
StddevUnvoicedSegmentLength,StddevUnvoicedSegmentLength,Temporal,"Standard deviation of the durations of unvoiced segments (pauses, silence, and unvoiced consonants). Reflects variability in pause and unvoiced interval lengths.",segment_level,Directly computed at the utterance/segment level; not derived from per-frame LLD time series via statistical aggregation.,none,No smoothing applied; feature computed directly at the utterance/segment level.
equivalentSoundLevel_dBp,equivalentSoundLevel_dBp,Energy/Amplitude,"Equivalent continuous sound level in dBp — the root-mean-square energy of the full recording expressed in decibels using a perceptual weighting. Reflects overall vocal intensity across the entire segment.",segment_level,Directly computed at the utterance/segment level; not derived from per-frame LLD time series via statistical aggregation.,none,No smoothing applied; feature computed directly at the utterance/segment level.
